province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Nam Dinh,23,16,7,S,0.0,65,12,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Uong Bi,20,11,5,ESE,0.0,48,66,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Nam Dinh,23,18,8,S,0.0,62,72,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Uong Bi,25,16,5,E,0.0,75,16,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Uong Bi,22,12,5,E,0.0,75,13,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Uong Bi,28,23,8,SE,0.0,77,40,1002,2021-03-31,22.32967032967033,21.0,19.805192890897718
Uong Bi,28,23,6,SE,0.4,80,63,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Uong Bi,27,23,7,SE,1.8,86,74,1008,2021-04-22,1.25,1.0,0.5
Uong Bi,30,24,7,SE,22.6,84,83,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Uong Bi,30,25,8,SE,12.0,89,63,1005,2020-09-11,19.55,8.0,19.782848912912186
Uong Bi,22,13,4,ENE,0.0,59,66,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Uong Bi,23,13,5,ENE,0.0,65,8,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Uong Bi,23,15,3,SE,0.0,59,78,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Can Tho,31,23,7,S,0.2,79,45,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Can Tho,30,21,7,E,0.0,77,20,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Can Tho,28,23,7,ESE,5.7,82,63,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Can Tho,38,26,11,S,0.0,55,18,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Can Tho,33,26,9,S,2.5,71,56,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Can Tho,33,27,11,SW,0.5,67,56,1008,2021-04-22,1.25,1.0,0.5
Can Tho,30,25,15,SW,6.9,85,60,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Can Tho,32,26,9,SSW,2.3,78,45,1007,2020-09-11,19.55,8.0,19.782848912912186
Can Tho,29,23,13,ENE,4.8,84,74,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Can Tho,30,21,10,SW,0.0,74,15,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Can Tho,28,19,13,ENE,15.2,91,87,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Nha Trang,25,16,21,SSE,16.9,90,99,1012,2021-01-04,17.157894736842106,15.0,15.22128673893248
Nha Trang,24,17,13,SW,0.0,81,12,1012,2021-01-15,25.104347826086958,22.0,20.714167502377503
Nha Trang,26,21,14,SSE,0.0,85,31,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
Nha Trang,30,23,12,S,0.0,75,9,1006,2021-03-31,22.32967032967033,21.0,19.805192890897718
Nha Trang,28,23,6,S,0.0,76,18,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Nha Trang,30,25,9,SSW,6.3,78,55,1009,2021-04-22,1.25,1.0,0.5
Nha Trang,31,26,7,SSW,9.9,75,50,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Nha Trang,30,25,11,SSW,5.6,83,45,1008,2020-09-11,19.55,8.0,19.782848912912186
Nha Trang,25,22,25,NNE,66.4,88,83,1013,2020-12-01,47.707692307692305,49.0,5.962704600585722
Nha Trang,26,21,19,SW,0.3,84,75,1013,2020-12-06,44.54545454545455,47.0,10.985113894390322
Nha Trang,25,20,10,NNW,15.8,91,86,1010,2020-12-24,19.950819672131146,9.0,24.22955937014749
Viet Tri,22,15,7,SW,0.0,52,45,1021,2021-01-04,17.157894736842106,15.0,15.22128673893248
Viet Tri,25,14,6,SSE,0.0,63,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Viet Tri,26,18,8,SE,0.0,63,35,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Viet Tri,34,24,14,E,0.0,69,44,1000,2021-03-31,22.32967032967033,21.0,19.805192890897718
Viet Tri,30,23,12,ESE,1.0,78,73,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Viet Tri,32,25,13,ESE,1.8,80,74,1007,2021-04-22,1.25,1.0,0.5
Viet Tri,31,26,8,E,38.7,84,68,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Viet Tri,33,26,7,SSW,20.6,86,73,1006,2020-09-11,19.55,8.0,19.782848912912186
Viet Tri,23,18,6,E,0.0,52,52,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Viet Tri,22,14,4,SSE,0.0,61,6,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Viet Tri,24,16,5,S,0.0,56,44,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Chau Doc,32,23,10,SE,0.0,67,42,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Chau Doc,32,21,5,SSE,0.0,72,12,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Chau Doc,28,24,8,SSE,9.7,78,67,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Chau Doc,37,28,16,SSW,0.0,53,14,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Chau Doc,34,28,11,S,0.7,64,48,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Chau Doc,33,28,15,SW,3.6,66,47,1008,2021-04-22,1.25,1.0,0.5
Chau Doc,30,26,23,SW,23.3,82,69,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Chau Doc,32,28,10,SW,14.4,76,60,1007,2020-09-11,19.55,8.0,19.782848912912186
Chau Doc,28,22,14,NE,0.1,81,58,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Chau Doc,29,22,18,S,0.0,69,7,1012,2020-12-06,44.54545454545455,47.0,10.985113894390322
Chau Doc,29,22,9,NE,19.1,81,88,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Phan Rang,24,17,32,E,28.0,89,99,1012,2021-01-04,17.157894736842106,15.0,15.22128673893248
Phan Rang,23,19,23,SE,0.0,80,18,1012,2021-01-15,25.104347826086958,22.0,20.714167502377503
Phan Rang,25,22,22,NNE,0.0,85,24,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
Phan Rang,29,24,17,SSW,0.0,75,8,1006,2021-03-31,22.32967032967033,21.0,19.805192890897718
Phan Rang,28,25,8,S,0.0,74,15,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Phan Rang,29,24,8,S,11.4,79,63,1009,2021-04-22,1.25,1.0,0.5
Phan Rang,31,26,21,SW,2.0,75,50,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Phan Rang,29,26,13,SSW,1.7,80,44,1008,2020-09-11,19.55,8.0,19.782848912912186
Phan Rang,26,22,30,SSE,0.5,82,82,1013,2020-12-06,44.54545454545455,47.0,10.985113894390322
Phan Rang,25,22,32,NNE,74.3,88,82,1013,2020-12-01,47.707692307692305,49.0,5.962704600585722
Phan Rang,25,20,19,W,5.9,88,86,1010,2020-12-24,19.950819672131146,9.0,24.22955937014749
Vinh,20,16,8,SSW,2.2,75,75,1019,2021-01-04,17.157894736842106,15.0,15.22128673893248
Vinh,20,14,7,SSW,0.0,83,57,1014,2021-01-15,25.104347826086958,22.0,20.714167502377503
Vinh,23,17,6,S,0.0,85,31,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Vinh,34,25,6,SE,0.0,62,28,1000,2021-03-31,22.32967032967033,21.0,19.805192890897718
Vinh,29,24,9,SE,4.8,84,64,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Vinh,30,25,9,SE,1.3,85,56,1007,2021-04-22,1.25,1.0,0.5
Vinh,31,26,9,SSW,0.2,78,60,1000,2020-08-03,19.96718651044965,20.0,11.491157496711356
Vinh,35,27,9,S,1.2,75,23,1006,2020-09-11,19.55,8.0,19.782848912912186
Vinh,20,15,10,SSW,3.7,81,98,1020,2020-12-01,47.707692307692305,49.0,5.962704600585722
Vinh,20,15,9,SSW,0.1,80,81,1019,2020-12-06,44.54545454545455,47.0,10.985113894390322
Vinh,20,18,8,SSW,2.6,83,96,1016,2020-12-24,19.950819672131146,9.0,24.22955937014749
Da Lat,21,15,9,NE,3.1,88,61,1012,2021-01-04,17.157894736842106,15.0,15.22128673893248
Da Lat,22,16,3,ENE,6.7,89,76,1011,2021-01-23,8.272727272727273,1.0,8.77600033148255
Da Lat,24,15,2,ESE,0.0,72,7,1012,2021-01-15,25.104347826086958,22.0,20.714167502377503
Da Lat,29,20,3,SW,0.0,64,18,1008,2021-03-31,22.32967032967033,21.0,19.805192890897718
Da Lat,26,18,3,W,28.7,85,70,1012,2021-04-22,1.25,1.0,0.5
Da Lat,29,18,2,ESE,1.7,76,43,1013,2021-04-14,29.486486486486488,31.0,15.413957638779541
Da Lat,23,14,9,W,8.5,94,87,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Da Lat,24,18,2,S,44.2,93,76,1008,2020-09-11,19.55,8.0,19.782848912912186
Da Lat,21,15,9,ENE,25.6,91,78,1013,2020-12-01,47.707692307692305,49.0,5.962704600585722
Da Lat,23,13,7,NNE,0.3,85,53,1013,2020-12-06,44.54545454545455,47.0,10.985113894390322
Da Lat,22,16,6,ENE,10.5,92,83,1010,2020-12-24,19.950819672131146,9.0,24.22955937014749
Phan Thiet,27,23,11,E,3.4,81,35,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Phan Thiet,26,20,9,ENE,0.0,78,10,1011,2021-01-15,25.104347826086958,22.0,20.714167502377503
Phan Thiet,26,23,5,SSW,4.4,87,50,1011,2021-01-23,8.272727272727273,1.0,8.77600033148255
Phan Thiet,31,24,9,SSW,0.0,72,17,1006,2021-03-31,22.32967032967033,21.0,19.805192890897718
Phan Thiet,31,25,11,E,1.9,77,52,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Phan Thiet,31,26,7,SW,19.8,78,69,1009,2021-04-22,1.25,1.0,0.5
Phan Thiet,29,24,16,WSW,17.1,88,60,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Phan Thiet,31,25,8,WSW,1.1,80,48,1008,2020-09-11,19.55,8.0,19.782848912912186
Phan Thiet,29,24,23,ENE,3.1,84,47,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Phan Thiet,28,22,6,SW,0.8,80,30,1012,2020-12-06,44.54545454545455,47.0,10.985113894390322
Phan Thiet,28,23,17,ENE,1.7,83,37,1009,2020-12-24,19.950819672131146,9.0,24.22955937014749
Vinh Long,31,23,7,S,0.4,78,45,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Vinh Long,26,23,7,ESE,2.0,87,55,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Vinh Long,30,20,7,SSE,0.0,77,19,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Vinh Long,37,25,11,S,0.0,55,22,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Vinh Long,34,25,8,SSE,4.3,74,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Vinh Long,34,27,10,SW,0.4,66,51,1008,2021-04-22,1.25,1.0,0.5
Vinh Long,30,25,16,SW,7.2,86,68,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Vinh Long,32,26,8,SSW,8.0,78,58,1007,2020-09-11,19.55,8.0,19.782848912912186
Vinh Long,31,21,9,SW,0.0,73,14,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Vinh Long,28,23,9,ENE,6.6,85,70,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Vinh Long,28,23,11,ENE,6.9,89,70,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Ha Noi,23,15,7,ESE,0.0,49,28,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ha Noi,25,15,8,ESE,0.0,66,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Ha Noi,26,19,10,SE,0.0,65,32,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Ha Noi,34,25,17,SE,0.0,69,40,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718
Ha Noi,29,24,13,SE,0.3,79,65,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Ha Noi,31,25,16,SE,0.5,81,65,1007,2021-04-22,1.25,1.0,0.5
Ha Noi,33,26,9,ESE,5.4,77,66,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Ha Noi,34,27,10,S,7.1,81,70,1005,2020-09-11,19.55,8.0,19.782848912912186
Ha Noi,22,18,8,ENE,0.0,53,56,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Ha Noi,23,15,4,SE,0.0,61,5,1021,2020-12-06,44.54545454545455,47.0,10.985113894390322
Ha Noi,24,17,7,SSE,0.0,53,49,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Play Cu,28,17,16,ENE,0.0,75,29,1014,2021-01-04,17.157894736842106,15.0,15.22128673893248
Play Cu,28,12,8,E,0.0,69,14,1013,2021-01-15,25.104347826086958,22.0,20.714167502377503
Play Cu,29,16,8,E,0.1,75,48,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
Play Cu,35,24,8,SW,0.0,49,31,1006,2021-03-31,22.32967032967033,21.0,19.805192890897718
Play Cu,33,20,5,SE,0.1,64,40,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Play Cu,30,20,4,S,31.3,82,65,1010,2021-04-22,1.25,1.0,0.5
Play Cu,22,20,15,WSW,18.8,99,100,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Play Cu,32,20,3,SW,15.3,85,70,1008,2020-09-11,19.55,8.0,19.782848912912186
Play Cu,25,18,21,ENE,0.1,80,49,1015,2020-12-01,47.707692307692305,49.0,5.962704600585722
Play Cu,26,14,10,NE,0.0,78,21,1015,2020-12-06,44.54545454545455,47.0,10.985113894390322
Play Cu,26,19,13,ENE,2.0,80,57,1011,2020-12-24,19.950819672131146,9.0,24.22955937014749
Vung Tau,27,25,15,SE,0.6,79,47,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Vung Tau,25,23,17,E,0.0,78,9,1011,2021-01-15,25.104347826086958,22.0,20.714167502377503
Vung Tau,25,23,11,SE,12.6,90,69,1011,2021-01-23,8.272727272727273,1.0,8.77600033148255
Vung Tau,28,26,15,SSE,0.0,73,14,1006,2021-03-31,22.32967032967033,21.0,19.805192890897718
Vung Tau,29,27,16,SE,7.5,78,57,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Vung Tau,30,27,13,SSW,24.6,75,72,1008,2021-04-22,1.25,1.0,0.5
Vung Tau,29,28,24,SW,25.8,79,73,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Vung Tau,30,28,12,SW,11.5,78,50,1008,2020-09-11,19.55,8.0,19.782848912912186
Vung Tau,28,25,33,ENE,0.6,79,64,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Vung Tau,28,22,8,S,0.0,77,21,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Vung Tau,28,26,29,E,0.3,81,39,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hai Duong,21,15,7,S,0.0,50,69,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hai Duong,24,14,8,ESE,0.0,73,14,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hai Duong,26,18,8,ESE,0.0,72,14,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hai Duong,29,23,17,SE,0.1,81,52,1002,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hai Duong,29,23,12,SE,1.1,82,70,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hai Duong,30,24,13,SE,2.4,87,72,1008,2021-04-22,1.25,1.0,0.5
Hai Duong,33,26,10,SE,17.9,80,75,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hai Duong,32,27,14,SSE,25.4,87,73,1005,2020-09-11,19.55,8.0,19.782848912912186
Hai Duong,23,18,6,E,0.0,59,54,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hai Duong,24,15,7,E,0.0,61,8,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Qui Nhon,24,18,21,NNE,19.4,92,95,1013,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hai Duong,24,18,6,SSE,0.0,59,82,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Qui Nhon,23,17,11,SSW,0.1,85,65,1013,2021-01-15,25.104347826086958,22.0,20.714167502377503
Qui Nhon,24,18,12,SSE,1.2,89,78,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
Qui Nhon,32,22,12,S,0.0,74,13,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Qui Nhon,29,24,7,SSE,0.0,77,18,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Qui Nhon,31,25,8,S,4.2,80,59,1008,2021-04-22,1.25,1.0,0.5
Qui Nhon,32,26,13,WSW,1.7,70,45,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Qui Nhon,32,25,12,S,3.0,79,47,1008,2020-09-11,19.55,8.0,19.782848912912186
Qui Nhon,25,22,23,NE,37.4,89,83,1014,2020-12-01,47.707692307692305,49.0,5.962704600585722
Qui Nhon,24,19,19,W,7.5,90,100,1014,2020-12-06,44.54545454545455,47.0,10.985113894390322
Qui Nhon,25,22,12,SSW,11.5,93,87,1011,2020-12-24,19.950819672131146,9.0,24.22955937014749
Yen Bai,22,15,7,SW,0.0,52,45,1021,2021-01-04,17.157894736842106,15.0,15.22128673893248
Yen Bai,25,14,6,SSE,0.0,63,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Yen Bai,26,18,8,SE,0.0,63,35,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Yen Bai,34,24,14,E,0.0,69,44,1000,2021-03-31,22.32967032967033,21.0,19.805192890897718
Yen Bai,30,23,12,ESE,1.0,78,73,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Yen Bai,32,25,13,ESE,1.8,80,74,1007,2021-04-22,1.25,1.0,0.5
Yen Bai,31,26,8,E,38.7,84,68,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Yen Bai,33,26,7,SSW,20.6,86,73,1006,2020-09-11,19.55,8.0,19.782848912912186
Yen Bai,23,18,6,E,0.0,52,52,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Yen Bai,22,14,4,SSE,0.0,61,6,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Yen Bai,24,16,5,S,0.0,56,44,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hai Phong,21,16,7,S,0.0,50,71,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hai Phong,23,14,8,ESE,0.0,73,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hai Phong,25,18,8,ESE,0.0,72,14,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hai Phong,28,24,16,ESE,0.0,80,43,1002,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hai Phong,28,24,11,SE,1.1,81,65,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hai Phong,29,24,13,SE,2.5,87,61,1008,2021-04-22,1.25,1.0,0.5
Hai Phong,32,25,10,SE,18.0,81,67,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hai Phong,31,27,13,SSE,24.4,87,75,1005,2020-09-11,19.55,8.0,19.782848912912186
Hai Phong,23,19,6,E,0.0,57,49,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hai Phong,23,15,6,ESE,0.0,61,8,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hai Phong,23,17,5,SSE,0.0,58,80,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Rach Gia,30,24,9,ESE,0.1,75,49,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Rach Gia,27,22,8,SSE,0.0,77,16,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Rach Gia,27,24,10,SSW,7.1,79,68,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Rach Gia,31,27,18,SW,0.0,67,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Rach Gia,30,27,13,SSW,10.5,73,61,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Rach Gia,31,29,19,WSW,2.3,70,46,1008,2021-04-22,1.25,1.0,0.5
Rach Gia,30,26,30,SW,14.3,80,63,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Rach Gia,30,28,14,SW,1.7,74,50,1007,2020-09-11,19.55,8.0,19.782848912912186
Rach Gia,29,23,20,E,0.0,73,7,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Rach Gia,28,24,18,NE,10.7,83,66,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Rach Gia,27,21,19,ENE,16.3,86,87,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hanoi,23,15,7,ESE,0.0,49,28,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hanoi,25,15,8,ESE,0.0,66,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hanoi,26,19,10,SE,0.0,65,32,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hanoi,34,25,17,SE,0.0,69,40,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hanoi,29,24,13,SE,0.3,79,65,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hanoi,31,25,16,SE,0.5,81,65,1007,2021-04-22,1.25,1.0,0.5
Hanoi,33,26,9,ESE,5.4,77,66,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hanoi,34,27,10,S,7.1,81,70,1005,2020-09-11,19.55,8.0,19.782848912912186
Hanoi,22,18,8,ENE,0.0,53,56,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hanoi,23,15,4,SE,0.0,61,5,1021,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hanoi,24,17,7,SSE,0.0,53,49,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Soc Trang,30,21,13,E,0.4,78,56,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248
Soc Trang,29,22,11,E,0.0,77,25,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Soc Trang,29,23,9,ESE,16.0,81,70,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Soc Trang,35,27,12,S,0.0,60,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Soc Trang,33,27,11,SSE,0.9,66,49,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Soc Trang,33,28,12,SW,2.3,66,50,1008,2021-04-22,1.25,1.0,0.5
Soc Trang,31,26,16,SW,7.2,80,57,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Soc Trang,32,27,10,SW,0.9,77,40,1008,2020-09-11,19.55,8.0,19.782848912912186
Soc Trang,28,23,23,ENE,4.7,83,73,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722
Soc Trang,30,22,7,SW,0.0,78,24,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Soc Trang,27,21,19,E,8.0,90,80,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
