province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity,long,lat,street_level,e_node_id,length,street_type
Bac Lieu,30,21,13,E,0.4,78,56,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Bac Lieu,29,22,11,E,0.0,77,25,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Bac Lieu,29,23,9,ESE,16.0,81,70,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Bac Lieu,35,27,12,S,0.0,60,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Bac Lieu,33,27,11,SSE,0.9,66,49,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Bac Lieu,33,28,12,SW,2.3,66,50,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Bac Lieu,31,26,16,SW,7.2,80,57,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Bac Lieu,32,27,10,SW,0.9,77,40,1008,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Bac Lieu,30,22,7,SW,0.0,78,24,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Bac Lieu,28,23,23,ENE,4.7,83,73,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Bac Lieu,27,21,19,E,8.0,90,80,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Ho Chi Minh City,32,24,8,ESE,0.0,68,43,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ho Chi Minh City,32,23,8,SSE,0.0,67,8,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Ho Chi Minh City,25,18,5,SE,31.5,90,84,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Ho Chi Minh City,34,27,12,SSE,8.0,65,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Ho Chi Minh City,34,28,8,S,12.3,65,73,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Ho Chi Minh City,37,27,13,SSE,0.0,56,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Ho Chi Minh City,29,26,14,SW,20.0,83,77,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Ho Chi Minh City,33,27,10,S,11.3,75,56,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Ho Chi Minh City,33,23,6,S,0.0,70,12,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Ho Chi Minh City,30,24,5,SSE,6.5,80,62,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Ho Chi Minh City,31,24,10,SE,2.4,75,61,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Tam Ky,21,15,12,SW,56.1,95,100,1016,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Tam Ky,22,16,8,S,0.0,81,38,1014,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Tam Ky,24,20,8,SSW,1.6,89,78,1013,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Tam Ky,32,24,12,SE,0.1,71,25,1003,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Tam Ky,29,22,11,SE,0.0,79,9,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Tam Ky,30,24,12,SE,1.6,82,36,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Tam Ky,33,27,6,SSW,0.2,71,56,1003,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Tam Ky,32,25,10,SE,3.6,78,46,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Tam Ky,24,18,20,ENE,70.9,90,100,1016,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Tam Ky,21,20,11,NW,23.8,91,98,1017,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Tam Ky,22,14,10,SW,37.0,95,100,1013,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Ben Tre,32,21,7,SSW,0.1,76,41,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ben Tre,25,23,5,ESE,3.0,92,67,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Ben Tre,31,21,6,ESE,0.0,74,15,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Ben Tre,39,26,9,SSE,0.0,59,13,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Ben Tre,33,26,7,SSE,7.6,76,75,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Ben Tre,35,27,6,SSW,0.9,69,58,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Ben Tre,29,25,11,SW,5.1,88,71,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Ben Tre,32,26,6,SSW,7.5,82,49,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Ben Tre,29,24,8,ENE,4.2,85,63,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Ben Tre,32,22,5,WSW,0.0,77,20,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Hoa Binh,23,16,4,S,0.0,59,47,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ben Tre,29,23,11,E,7.8,85,75,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Hoa Binh,24,12,5,SSE,0.0,67,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Hoa Binh,27,17,6,S,0.0,70,41,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Hoa Binh,35,26,7,SE,0.0,65,36,1000,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Hoa Binh,29,23,6,SSE,1.6,81,73,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Hoa Binh,32,25,7,SSE,2.1,81,64,1007,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Hoa Binh,30,23,3,SSW,26.3,91,72,999,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Hoa Binh,34,26,5,S,8.4,85,58,1006,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Hoa Binh,21,15,3,SE,0.0,64,54,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Hoa Binh,22,14,4,S,0.0,69,10,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Hoa Binh,20,14,4,SW,0.0,65,46,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Tan An,32,23,8,SW,0.3,73,44,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Tan An,30,22,8,SSE,0.0,73,11,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Tan An,24,23,4,SE,21.4,92,73,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Tan An,37,26,12,SSE,0.0,58,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Tan An,33,27,11,SSE,11.7,68,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Tan An,34,28,8,SSW,5.9,66,71,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Tan An,29,25,13,SW,8.5,86,69,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Tan An,32,26,9,SSW,8.6,79,52,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Tan An,29,24,6,ESE,7.1,84,69,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Tan An,33,23,6,SSW,0.0,76,14,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Tan An,31,23,12,ENE,1.5,79,55,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Bien Hoa,32,24,9,ESE,0.0,68,43,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Bien Hoa,32,23,8,SSE,0.0,67,8,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Bien Hoa,25,18,5,SE,31.5,90,84,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Bien Hoa,37,27,13,SSE,0.0,56,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Bien Hoa,34,27,12,SSE,8.0,65,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Bien Hoa,34,28,8,S,12.3,65,73,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Bien Hoa,29,26,14,SW,20.0,83,77,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Bien Hoa,33,27,10,S,11.3,75,56,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Bien Hoa,30,24,5,SSE,6.5,80,62,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Bien Hoa,33,23,6,S,0.0,70,12,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Bien Hoa,31,24,10,SE,2.4,75,61,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Hong Gai,19,16,11,ENE,0.0,51,86,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Hong Gai,20,14,8,E,0.0,77,14,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Hong Gai,22,18,7,E,0.0,79,9,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Hong Gai,25,20,13,ESE,0.0,86,48,1002,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Hong Gai,26,21,9,ESE,0.3,84,59,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Hong Gai,26,20,11,SE,2.1,89,75,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Hong Gai,31,24,16,S,22.6,79,72,999,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Hong Gai,30,26,19,SSE,22.8,84,70,1005,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Hong Gai,21,18,16,ENE,0.0,61,62,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Hong Gai,20,15,11,NE,0.0,64,12,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Hong Gai,21,16,8,ESE,0.0,64,92,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Thai Nguyen,21,13,5,S,0.0,55,29,1021,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Thai Nguyen,24,13,5,SSE,0.0,68,10,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Thai Nguyen,26,17,6,ESE,0.0,64,28,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Thai Nguyen,32,24,12,SE,0.0,74,45,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Thai Nguyen,30,24,10,SE,4.0,86,88,1007,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Thai Nguyen,29,23,9,SE,3.2,81,83,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Thai Nguyen,31,25,7,ENE,25.4,88,75,999,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Thai Nguyen,32,26,7,ESE,13.2,90,68,1005,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Thai Nguyen,22,16,5,NE,0.0,57,40,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Thai Nguyen,22,13,4,SSE,0.0,63,5,1021,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Thai Nguyen,23,16,5,SSW,0.0,54,47,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Buon Me Thuot,26,20,13,ENE,0.5,78,81,1012,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Buon Me Thuot,27,15,10,E,0.0,73,3,1012,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Buon Me Thuot,27,19,10,E,0.0,74,35,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Buon Me Thuot,38,24,4,S,0.0,49,14,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Buon Me Thuot,36,22,6,SSE,0.3,60,34,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Buon Me Thuot,32,22,4,SSW,66.6,78,62,1009,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Buon Me Thuot,26,21,8,SSW,9.2,92,83,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Buon Me Thuot,32,21,3,SW,16.6,86,49,1008,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Buon Me Thuot,24,20,14,ENE,4.5,86,64,1013,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Buon Me Thuot,26,18,9,ENE,0.3,83,67,1013,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Buon Me Thuot,27,21,12,ENE,0.5,80,67,1010,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Hue,20,18,7,NW,16.1,96,100,1017,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Hue,21,15,6,ESE,0.0,85,55,1014,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Hue,24,20,6,SW,0.6,91,65,1013,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Hue,33,22,9,SSE,1.9,68,37,1003,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Hue,31,22,9,SE,0.0,77,5,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Hue,32,25,9,ESE,0.4,79,23,1007,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Hue,31,25,6,SSE,1.0,79,56,1002,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Hue,34,24,9,SE,2.5,75,45,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Hue,23,19,16,ENE,105.4,94,100,1017,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Hue,20,18,10,W,10.1,94,97,1017,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Hue,21,17,9,NW,44.5,97,100,1013,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Thanh Hoa,21,14,7,S,0.0,59,65,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Thanh Hoa,23,14,7,SW,0.0,74,22,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Thanh Hoa,25,18,6,SSE,0.0,76,19,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Thanh Hoa,31,24,10,SE,0.0,79,32,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Thanh Hoa,29,21,9,SSE,2.7,82,67,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Thanh Hoa,29,24,12,SE,0.8,85,61,1007,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Thanh Hoa,33,23,8,SSW,0.8,80,47,999,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Thanh Hoa,35,27,8,S,2.0,79,38,1005,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Thanh Hoa,21,14,7,SW,0.0,73,30,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Thanh Hoa,21,19,7,SSE,0.0,66,81,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Thanh Hoa,22,15,8,S,0.0,65,88,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Ca Mau,31,24,8,ENE,8.3,79,55,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ca Mau,29,22,8,E,0.0,76,34,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Ca Mau,29,23,8,SE,0.1,78,45,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Ca Mau,34,27,6,SSW,7.7,70,72,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Ca Mau,38,26,7,SSW,0.0,59,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Ca Mau,33,27,11,WSW,1.0,68,46,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Ca Mau,31,26,13,SW,1.6,80,65,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Ca Mau,31,27,7,SSW,27.5,81,57,1008,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Ca Mau,30,22,9,SW,0.0,75,17,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Ca Mau,28,19,15,E,3.6,88,84,1007,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Long Xuyen,32,23,9,ESE,0.1,72,38,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ca Mau,28,24,16,ENE,14.9,89,78,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Long Xuyen,29,23,8,SE,1.5,82,53,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
